source,source_row,z,y,x,theta_deg,winding,dk,ct_brightness,conf,pre_repair_global_id,labeled_frac_5cube
wedge,1233,4080,2629,2596,42.0,60,,,1,264858,0.896
unlab,8928,10768,1769,599,174.0,67,1,147,,593971,0.888
unlab,559,4048,2087,1935,126.0,3,1,130,,259267,0.88
wedge,3420,10800,1965,918,156.0,66,,,1,596704,0.88
unlab,3902,5072,1990,1896,222.0,7,1,106,,223883,0.872
unlab,562,9872,1928,1619,126.0,3,1,160,,500910,0.864
unlab,8978,3600,2636,1384,132.0,72,1,152,,111481,0.864
unlab,298,1168,1822,1554,282.0,2,1,211,,78035,0.856
unlab,3192,11088,967,2083,252.0,6,2,130,,650167,0.856
unlab,2165,2960,1986,1824,204.0,5,1,147,,181471,0.848
unlab,3817,8144,1895,1786,186.0,7,1,144,,408922,0.84
unlab,8782,9424,2438,1470,120.0,54,1,156,,473874,0.84
unlab,8912,8528,1557,2692,342.0,65,1,138,,426454,0.84
unlab,1133,3984,2091,1930,102.0,4,1,132,,259091,0.832
unlab,1272,2320,1916,1542,162.0,4,1,160,,63448,0.832
unlab,1969,4176,2102,1891,126.0,5,1,137,,272532,0.832
unlab,2457,10192,1740,1742,306.0,5,1,192,,538656,0.832
unlab,5410,9552,1799,1860,324.0,9,1,255,,465347,0.832
wedge,2225,6928,2148,891,180.0,59,,,1,371753,0.832
wedge,3511,10928,1041,1041,198.0,48,,,1,626898,0.832
unlab,7029,3216,1854,1707,234.0,13,1,136,,190642,0.83
unlab,26,7888,1999,1916,24.0,2,1,139,,404720,0.824
unlab,305,10512,1693,1666,282.0,2,1,232,,567218,0.824
unlab,314,9360,1878,1791,294.0,2,1,123,,371670,0.824
unlab,3289,3088,1963,1878,294.0,6,1,136,,184124,0.824
unlab,8904,1360,1296,2570,336.0,64,2,117,,75421,0.824
unlab,2510,10960,1212,1975,324.0,5,1,162,,629571,0.816
unlab,4092,1040,1848,1579,300.0,7,1,191,,63775,0.816
unlab,8812,1360,1015,1290,246.0,56,1,158,,71769,0.816
unlab,8950,10320,2483,890,138.0,69,2,144,,550341,0.816
unlab,83,10640,1786,1673,78.0,2,1,163,,598287,0.808
unlab,86,3792,2050,1928,84.0,2,1,115,,242657,0.808
unlab,1910,4112,2112,1938,96.0,5,1,165,,272337,0.808
unlab,1941,10256,1895,1671,108.0,5,1,160,,547226,0.808
unlab,4301,5264,2140,2010,54.0,8,1,126,,325630,0.808
unlab,7144,4048,2116,2154,18.0,14,1,138,,259307,0.808
unlab,8893,1360,1302,2557,336.0,63,1,154,,75421,0.808
wedge,1461,4592,2299,766,168.0,54,,,1,284636,0.808
unlab,2071,11152,974,2303,156.0,5,1,131,,649839,0.8
unlab,2861,3408,2085,1841,120.0,6,1,135,,198926,0.8
unlab,8749,9424,1420,2323,318.0,51,1,154,,441187,0.8
unlab,1587,11152,897,2411,306.0,4,1,220,,651316,0.792
unlab,1980,10256,1878,1657,126.0,5,2,132,,546371,0.792
unlab,4263,3792,2065,2003,30.0,8,2,150,,242638,0.792
unlab,5297,10128,1705,1597,258.0,9,1,143,,512416,0.792
unlab,6201,4496,2150,1807,132.0,11,1,137,,287140,0.792
unlab,6658,7376,2133,1766,168.0,12,1,130,,389110,0.792
wedge,373,1808,2294,2583,30.0,75,,,1,115864,0.792
unlab,5240,7760,1910,1855,228.0,9,1,142,,404210,0.787
unlab,206,9104,1842,1743,186.0,2,1,147,,442846,0.784
unlab,839,4048,2003,1976,288.0,3,1,180,,259304,0.784
unlab,1039,3728,2057,1979,48.0,4,1,147,,121319,0.784
unlab,1262,9936,1886,1617,156.0,4,1,202,,523428,0.784
unlab,2300,8016,1893,1860,246.0,5,1,152,,395683,0.784
unlab,8591,10576,1363,1746,282.0,35,1,146,,588693,0.784
unlab,8763,9424,1421,2322,318.0,52,1,150,,441187,0.784
unlab,8834,10320,1090,1021,228.0,58,1,127,,529334,0.784
unlab,3744,3536,2092,1829,144.0,7,1,148,,219135,0.776
unlab,4480,9232,1934,1755,126.0,8,1,138,,470070,0.776
unlab,6032,3600,2168,2088,42.0,11,1,151,,220723,0.776
unlab,261,3024,1982,1832,228.0,2,1,139,,181609,0.768
unlab,1192,4112,2083,1908,132.0,4,1,171,,272448,0.768
unlab,2044,4112,2077,1882,150.0,5,3,141,,271742,0.768
unlab,2488,10832,1501,1891,318.0,5,1,172,,600524,0.768
unlab,4391,3792,2089,1924,90.0,8,1,152,,242657,0.768
unlab,8924,8528,1556,2694,342.0,66,1,138,,426454,0.768
unlab,311,10768,1586,1745,288.0,2,1,236,,598718,0.76
unlab,1895,1296,1847,1597,90.0,5,1,151,,78402,0.76
unlab,2466,2448,1908,1771,312.0,5,1,163,,63448,0.76
unlab,2928,10192,1882,1605,144.0,6,1,164,,546985,0.76
unlab,7716,4240,1972,2077,330.0,16,1,133,,272792,0.76
wedge,34,976,1670,643,204.0,67,,,1,52984,0.76
unlab,1695,2960,1996,1916,354.0,4,2,149,,166693,0.752
unlab,1714,4112,2047,2010,6.0,5,1,153,,272403,0.752
unlab,2121,10192,1830,1514,180.0,5,1,170,,538015,0.752
unlab,7002,2704,1908,1674,210.0,13,1,148,,63448,0.752
unlab,8934,10320,2482,891,138.0,68,1,140,,550341,0.752
unlab,333,2384,1866,1743,318.0,2,1,136,,63448,0.744
unlab,776,11024,1092,1986,240.0,3,1,135,,629856,0.744
unlab,2467,2960,1958,1898,312.0,5,1,148,,183136,0.744
unlab,2738,9936,1960,1693,66.0,6,1,173,,522758,0.744
unlab,6175,2640,2099,1736,120.0,11,1,198,,152224,0.744
unlab,7894,1360,1726,1180,180.0,18,1,152,,77510,0.744
unlab,8798,3600,1754,2776,342.0,55,1,154,,216582,0.744
unlab,9022,3600,2370,878,162.0,77,1,156,,225393,0.744
unlab,938,3152,2008,1900,348.0,3,1,141,,182164,0.736
unlab,1134,4176,2106,1916,102.0,4,1,149,,272537,0.736
unlab,1753,9808,1897,1766,24.0,5,1,253,,500987,0.736
unlab,2664,8592,1915,1864,42.0,6,1,162,,223883,0.736
unlab,5259,9488,1808,1706,240.0,9,1,152,,465348,0.736
unlab,7858,3984,2276,1994,78.0,18,1,148,,258901,0.736
unlab,1567,10192,1781,1705,300.0,4,2,167,,512815,0.728
unlab,2397,7248,2053,1991,288.0,5,1,137,,389644,0.728
unlab,3354,9680,1840,1740,312.0,6,1,180,,493713,0.728
unlab,4042,9552,1805,1728,276.0,7,1,139,,465347,0.728
unlab,7452,2960,2087,1668,156.0,15,1,168,,165638,0.728
wedge,2974,9392,1358,1897,282.0,49,,,1,463722,0.728
unlab,1921,11088,1076,2085,102.0,5,1,180,,653302,0.72
unlab,2306,3216,1941,1804,252.0,5,1,132,,199218,0.72
unlab,2918,3984,2067,1895,144.0,6,1,141,,251974,0.72
unlab,4245,4112,2076,2056,18.0,8,1,141,,258905,0.72
unlab,6317,10960,1130,1855,240.0,11,1,152,,628071,0.72
unlab,237,4304,2022,1882,204.0,2,1,100,,272869,0.712
unlab,540,4624,2102,1871,114.0,3,1,129,,299893,0.712
unlab,968,4112,2046,2004,6.0,4,1,143,,259267,0.712
unlab,3140,9232,1811,1761,234.0,6,1,159,,442759,0.712
unlab,3338,1488,1659,1695,312.0,6,1,116,,94413,0.712
unlab,4645,5520,2044,1906,228.0,8,1,140,,332075,0.712
unlab,4794,10832,1460,1898,300.0,8,1,168,,590222,0.712
unlab,6256,3152,1943,1674,204.0,11,1,133,,182231,0.712
unlab,6973,3024,2119,1693,150.0,13,1,160,,180957,0.712
unlab,8761,3152,1318,1995,282.0,52,1,157,,172221,0.712
unlab,512,10640,1791,1670,84.0,3,2,160,,598287,0.704
unlab,2262,6288,2090,1907,228.0,5,1,160,,351615,0.704
unlab,4200,3984,2004,2032,342.0,7,1,144,,259072,0.704
unlab,5663,9040,1889,1752,126.0,10,1,160,,449316,0.704
unlab,7632,2576,2096,1511,156.0,16,1,135,,152007,0.704
unlab,8012,1488,1577,1508,234.0,19,1,153,,94440,0.704
unlab,9020,3600,2618,1401,132.0,77,1,168,,225556,0.704
unlab,190,3600,2028,1888,180.0,2,2,139,,220584,0.696
unlab,1385,9488,1859,1687,210.0,4,1,178,,453587,0.696
unlab,1897,2960,2057,1859,90.0,5,1,145,,165692,0.696
unlab,1930,3856,2091,1893,108.0,5,1,140,,240386,0.696
unlab,3391,3984,1988,2020,330.0,6,1,132,,259094,0.696
unlab,6498,4816,2098,2028,30.0,12,1,148,,311465,0.696
unlab,7277,1232,1714,1482,228.0,14,1,164,,78842,0.696
unlab,8000,9808,1883,1421,174.0,19,1,148,,500719,0.696
unlab,8919,3600,2544,1221,144.0,66,1,162,,203891,0.696
unlab,829,3216,1990,1839,282.0,3,1,135,,199270,0.688
unlab,1136,4752,2093,1908,102.0,4,1,130,,311247,0.688
unlab,1917,4176,2111,1915,102.0,5,2,129,,272537,0.688
unlab,3001,10064,1852,1512,174.0,6,1,168,,512497,0.688
unlab,3694,9744,1946,1625,120.0,7,1,152,,500444,0.688
unlab,4458,9936,1937,1624,114.0,8,1,233,,523442,0.688
wedge,1240,4080,1611,1198,210.0,57,,,1,223883,0.688
unlab,641,3088,2049,1779,174.0,3,1,137,,181098,0.68
unlab,858,10192,1788,1702,300.0,3,1,146,,512815,0.68
unlab,1542,4624,1987,1922,294.0,4,1,160,,297245,0.68
unlab,1661,4816,2007,1999,336.0,4,1,152,,311420,0.68
unlab,1772,10000,1898,1691,30.0,5,1,177,,523495,0.68
unlab,2230,11024,1095,1964,216.0,5,1,140,,629645,0.68
unlab,3024,8848,1866,1660,192.0,6,1,152,,442412,0.68
unlab,3323,10704,1656,1698,300.0,6,1,185,,599577,0.68
unlab,3441,8848,1867,1870,354.0,6,1,169,,451101,0.68
unlab,3534,10384,1852,1741,54.0,7,1,129,,566505,0.68
unlab,5198,2576,1916,1642,204.0,9,1,162,,141687,0.68
unlab,8104,4560,1912,2125,330.0,20,1,141,,299112,0.68
unlab,1191,3984,2066,1913,132.0,4,1,133,,251974,0.672
unlab,1518,3024,1956,1880,282.0,4,1,134,,181609,0.672
unlab,1657,3792,1971,2033,336.0,4,1,126,,241371,0.672
unlab,2029,4688,2095,1850,144.0,5,1,130,,297671,0.672
unlab,2217,3920,1994,1905,216.0,5,1,122,,251974,0.672
unlab,2519,9360,1867,1847,330.0,5,1,142,,461155,0.672
unlab,2526,1808,1653,1745,336.0,5,2,153,,109603,0.672
unlab,4071,7696,1911,1984,288.0,7,2,151,,395683,0.672
unlab,4102,5456,2027,2020,300.0,7,1,161,,326242,0.672
unlab,4641,1168,1802,1489,228.0,8,1,156,,53526,0.672
unlab,890,10192,1796,1714,318.0,3,1,145,,538047,0.664
unlab,1002,9936,1890,1698,24.0,4,1,158,,523460,0.664
unlab,1465,9808,1816,1656,246.0,4,1,254,,493334,0.664
unlab,1591,4688,2023,1931,312.0,4,1,112,,299579,0.664
unlab,2376,1104,1856,1538,282.0,5,1,117,,67725,0.664
unlab,2497,3216,1981,1894,324.0,5,2,120,,200690,0.664
unlab,2753,9104,1921,1842,72.0,6,1,173,,459335,0.664
unlab,3352,9040,1750,1863,312.0,6,1,252,,442680,0.664
unlab,3779,1232,1850,1490,162.0,7,1,171,,53526,0.664
unlab,5341,7120,2072,1952,282.0,9,1,161,,223883,0.664
unlab,6220,1936,1808,1470,150.0,11,1,173,,63448,0.664
unlab,7250,2960,2048,1718,162.0,14,1,148,,165702,0.664
unlab,8908,10320,2455,920,138.0,65,2,150,,542995,0.664
unlab,2380,3792,1954,1938,282.0,5,1,116,,240381,0.656
unlab,2520,9872,1842,1718,330.0,5,1,238,,493371,0.656
unlab,3410,9360,1882,1834,336.0,6,1,168,,469820,0.656
unlab,3426,2384,1897,1765,348.0,6,1,167,,63448,0.656
unlab,4405,10640,1820,1665,90.0,8,1,175,,598121,0.656
unlab,4556,2896,2015,1743,174.0,8,1,137,,165539,0.656
unlab,6680,9616,1822,1615,210.0,12,1,120,,479321,0.656
unlab,6809,2896,1805,1960,300.0,12,1,129,,161941,0.656
unlab,7849,4624,2213,1983,60.0,18,2,126,,299410,0.656
unlab,8743,4496,2594,2163,66.0,51,1,138,,292778,0.656
unlab,3042,9552,1854,1569,198.0,6,1,160,,453587,0.65
unlab,904,1104,1883,1572,330.0,3,1,213,,63449,0.648
unlab,1630,9808,1815,1731,324.0,4,1,202,,493371,0.648
unlab,3048,3984,1999,1867,204.0,6,1,113,,259061,0.648
unlab,3286,1872,1659,1633,294.0,6,1,151,,94498,0.648
unlab,5185,10896,1396,1715,192.0,9,1,173,,627839,0.648
unlab,5500,3088,2222,1973,54.0,10,1,152,,182693,0.648
unlab,6525,10256,1978,1779,60.0,12,1,149,,547169,0.648
unlab,6848,10448,1772,1910,354.0,12,1,183,,512666,0.648
unlab,7451,2576,2094,1515,156.0,15,1,162,,152007,0.648
unlab,7474,2064,1728,1526,240.0,15,1,152,,119837,0.648
unlab,8019,3856,1690,1723,240.0,19,1,112,,251774,0.648
unlab,8431,10064,1679,1972,336.0,27,1,170,,515915,0.648
unlab,8856,4944,1831,949,192.0,60,1,132,,281835,0.648
unlab,8892,1808,977,2133,306.0,63,1,135,,104706,0.648
wedge,720,2576,1230,2612,318.0,84,,,1,146574,0.648
wedge,749,2704,2612,1262,132.0,78,,,1,155271,0.648
unlab,844,10704,1687,1665,288.0,3,1,164,,599634,0.64
unlab,1212,4688,2106,1847,138.0,4,2,134,,297671,0.64
unlab,1645,7760,1926,2051,330.0,4,1,170,,395638,0.64
unlab,1826,4176,2121,1969,60.0,5,1,131,,259267,0.64
unlab,2035,9040,1853,1753,144.0,5,1,137,,442860,0.64
unlab,2374,10320,1731,1662,276.0,5,1,177,,538785,0.64
unlab,3241,8976,1776,1748,270.0,6,2,128,,442540,0.64
unlab,3324,10832,1472,1891,300.0,6,1,151,,637968,0.64
unlab,5691,2192,1936,1499,144.0,10,1,146,,128887,0.64
unlab,5757,3280,1988,1781,216.0,10,1,146,,199530,0.64
unlab,7252,11088,1052,1748,174.0,14,1,129,,652169,0.64
unlab,7706,1360,1512,1844,318.0,16,1,144,,78575,0.64
unlab,7845,3920,2179,2086,48.0,18,1,178,,259799,0.64
unlab,8869,6736,1791,2615,330.0,61,1,152,,364422,0.64
unlab,8884,6736,1790,2616,330.0,62,1,123,,364422,0.64
wedge,960,3344,1924,2930,354.0,70,,,1,203140,0.64
unlab,110,9936,1908,1641,108.0,2,1,241,,523430,0.632
unlab,183,3600,2033,1887,174.0,2,2,137,,220584,0.632
unlab,283,9616,1846,1728,264.0,2,1,245,,479348,0.632
unlab,600,4112,2066,1901,150.0,3,2,139,,272487,0.632
unlab,1560,4368,1981,1959,300.0,4,1,136,,288172,0.632
unlab,1618,976,1986,1583,324.0,4,1,127,,67560,0.632
unlab,2461,11152,890,2416,306.0,5,2,159,,650859,0.632
unlab,3608,8976,1897,1754,84.0,7,1,138,,449316,0.632
unlab,3661,8400,1918,1829,108.0,7,1,153,,408922,0.632
unlab,4331,4176,2147,1971,66.0,8,1,136,,273111,0.632
unlab,4545,3280,2057,1780,162.0,8,1,144,,199511,0.632
unlab,5417,4304,1980,2023,330.0,9,1,133,,287818,0.632
unlab,6001,9296,1890,1982,348.0,10,1,136,,442759,0.632
unlab,6157,8912,1914,1728,108.0,11,1,142,,449624,0.632
unlab,6606,2832,2141,1767,114.0,12,1,140,,165449,0.632
unlab,7004,9616,1820,1612,210.0,13,2,159,,479321,0.632
unlab,7926,7440,1905,1943,258.0,18,1,188,,395758,0.632
unlab,7928,9552,1672,1669,258.0,18,1,103,,465660,0.632
unlab,8066,4240,2356,1882,96.0,20,1,127,,121319,0.632
unlab,8171,1488,1649,1894,342.0,21,1,154,,78534,0.632
unlab,9026,10320,1256,2863,336.0,78,1,127,,533701,0.632
unlab,135,3280,2058,1826,132.0,2,1,129,,198665,0.624
unlab,185,9040,1818,1761,174.0,2,1,152,,453865,0.624
unlab,252,4816,2014,1892,216.0,2,1,159,,310729,0.624
unlab,665,4304,2035,1875,186.0,3,1,136,,287749,0.624
unlab,668,7312,2101,1891,186.0,3,1,124,,389389,0.624
unlab,763,1040,1905,1453,234.0,3,1,144,,63479,0.624
unlab,774,4368,1983,1909,240.0,3,2,130,,288157,0.624
unlab,1151,3408,2083,1847,114.0,4,1,142,,198926,0.624
unlab,2065,8848,1920,1647,156.0,5,1,157,,428488,0.624
unlab,4872,3984,2001,2040,342.0,8,1,148,,241340,0.624
unlab,5821,1808,1630,1562,252.0,10,1,153,,109613,0.624
unlab,7267,9616,1818,1608,210.0,14,1,155,,479321,0.624
unlab,8205,8976,1959,1538,150.0,22,1,157,,449806,0.624
unlab,8741,3152,1333,1992,282.0,50,1,149,,172202,0.624
unlab,3795,3664,2056,1854,168.0,7,2,142,,240099,0.62
unlab,89,10640,1784,1669,84.0,2,1,165,,598287,0.616
unlab,446,4432,2097,1974,42.0,3,1,119,,288485,0.616
unlab,464,9360,1936,1805,48.0,3,1,128,,469877,0.616
unlab,499,3984,2070,1951,78.0,3,1,159,,259104,0.616
unlab,898,3024,1995,1899,324.0,3,1,135,,181609,0.616
unlab,1077,4688,2116,1921,66.0,4,1,123,,297750,0.616
unlab,1683,3664,2026,1995,348.0,4,1,143,,220475,0.616
unlab,2607,2960,2039,1972,18.0,6,1,137,,182304,0.616
unlab,3745,3600,2092,1844,144.0,7,1,101,,219323,0.616
unlab,5745,10768,1551,1499,204.0,10,1,142,,598957,0.616
unlab,6042,3920,2128,2023,54.0,11,1,157,,258769,0.616
unlab,6257,3472,2001,1750,204.0,11,1,143,,218921,0.616
unlab,6261,2704,1913,1682,210.0,11,3,153,,63448,0.616
unlab,6956,10640,1879,1588,120.0,13,1,164,,608712,0.616
unlab,7732,4624,2209,1981,60.0,17,1,114,,299410,0.616
unlab,8829,4048,2630,2600,42.0,58,1,145,,264858,0.616
unlab,8890,6288,1779,1143,204.0,63,2,109,,349599,0.616
unlab,8960,3600,2620,1400,132.0,70,1,168,,225556,0.616
wedge,772,2768,2247,625,168.0,73,,,1,169299,0.616
wedge,2448,7728,1653,3018,342.0,62,,,1,402072,0.616
wedge,3354,10672,2188,626,156.0,84,,,1,604442,0.616
unlab,223,10448,1773,1492,192.0,2,1,188,,565795,0.608
unlab,609,2960,2014,1830,156.0,3,1,131,,181471,0.608
unlab,1088,3408,2092,1882,72.0,4,1,137,,218989,0.608
unlab,1224,2512,1999,1709,144.0,4,1,226,,152289,0.608
unlab,1236,3408,2068,1821,150.0,4,1,130,,198926,0.608
unlab,2053,7888,2019,1835,150.0,5,1,130,,412522,0.608
unlab,2257,2768,1942,1788,228.0,5,1,150,,165456,0.608
unlab,2900,3024,2075,1804,138.0,6,1,147,,181671,0.608
unlab,2974,3984,2053,1879,162.0,6,1,139,,257905,0.608
unlab,2983,11152,973,2278,162.0,6,1,147,,649839,0.608
unlab,3776,9616,1914,1678,156.0,7,1,161,,484485,0.608
unlab,4368,8720,1945,1762,78.0,8,1,148,,223883,0.608
unlab,4403,9744,1960,1657,90.0,8,1,149,,500518,0.608
unlab,7317,3344,1817,1882,276.0,14,1,137,,191160,0.608
unlab,8356,1808,1451,1748,300.0,25,1,143,,63448,0.608
unlab,8776,3152,1663,2645,336.0,53,1,133,,178703,0.608
unlab,8872,1360,2014,2493,18.0,62,1,128,,85702,0.608
unlab,8947,5840,2530,2543,36.0,69,1,165,,341663,0.608
unlab,459,4432,2097,1963,48.0,3,1,140,,288485,0.6
unlab,892,10640,1702,1714,318.0,3,1,168,,599301,0.6
unlab,1774,11088,1046,2151,30.0,5,1,138,,653429,0.6
unlab,1906,9616,1946,1732,90.0,5,1,157,,484420,0.6
unlab,3628,10320,1860,1655,90.0,7,1,179,,538314,0.6
unlab,4661,10064,1780,1560,234.0,8,2,156,,512416,0.6
unlab,6364,2064,1730,1586,270.0,11,1,138,,119847,0.6
unlab,6711,3728,1906,1879,240.0,12,1,130,,234034,0.6
unlab,8454,2576,1750,2091,324.0,28,1,144,,148567,0.6
unlab,118,8016,1980,1860,114.0,2,1,153,,412755,0.592
unlab,374,3792,2010,2012,354.0,2,1,166,,241352,0.592
unlab,712,2384,1889,1651,210.0,3,1,168,,142279,0.592
unlab,758,4368,1998,1908,228.0,3,1,104,,288159,0.592
unlab,837,3216,1990,1843,288.0,3,1,137,,199270,0.592
unlab,1296,11024,1136,1956,168.0,4,2,164,,653087,0.592
unlab,1365,7504,2021,1885,204.0,4,1,143,,389389,0.592
unlab,1626,3216,1983,1891,324.0,4,1,124,,200690,0.592
unlab,1665,9360,1886,1826,336.0,4,1,137,,371670,0.592
unlab,2290,9168,1803,1786,240.0,5,1,152,,442759,0.592
unlab,2508,10320,1729,1744,324.0,5,1,208,,538372,0.592
unlab,2907,8272,1926,1845,138.0,6,1,160,,223883,0.592
unlab,3082,10704,1693,1558,210.0,6,1,156,,598714,0.592
unlab,3128,11088,969,2057,228.0,6,1,156,,650167,0.592
unlab,3739,10832,1697,1674,138.0,7,1,174,,636249,0.592
unlab,3763,4624,2095,1822,150.0,7,1,140,,297245,0.592
unlab,4435,4624,2118,1871,108.0,8,1,147,,299922,0.592
unlab,4444,8912,1890,1736,108.0,8,1,131,,449316,0.592
unlab,4474,4304,2089,1884,126.0,8,1,136,,287781,0.592
unlab,4730,10768,1566,1715,264.0,8,1,205,,598839,0.592
unlab,4890,1488,1737,1726,0.0,9,1,176,,63448,0.592
unlab,5161,3280,2059,1773,162.0,9,1,112,,199511,0.592
unlab,5273,10832,1390,1793,246.0,9,1,117,,588273,0.592
unlab,5970,2128,1795,1658,318.0,10,2,140,,126346,0.592
unlab,6029,9872,1952,1754,36.0,11,1,180,,500563,0.592
unlab,6771,1424,1615,1620,276.0,12,1,112,,94303,0.592
unlab,7511,10448,1682,1652,282.0,15,1,181,,567180,0.592
unlab,8300,10128,1934,1305,162.0,24,1,149,,476993,0.592
unlab,8571,9936,1537,1953,312.0,33,1,141,,514115,0.592
unlab,8623,10576,1314,2137,318.0,37,1,146,,560248,0.592
unlab,8984,4496,1375,2127,288.0,72,1,177,,281655,0.592
unlab,498,3792,2048,1930,78.0,3,1,122,,242657,0.584
unlab,633,1872,1761,1460,168.0,3,1,141,,63448,0.584
unlab,727,3792,1995,1890,216.0,3,1,137,,240340,0.584
unlab,1356,3664,2016,1890,204.0,4,1,138,,220584,0.584
unlab,1504,4368,1980,1934,270.0,4,2,158,,288310,0.584
unlab,2074,1552,1767,1434,162.0,5,1,154,,94528,0.584
unlab,2533,8912,1805,1825,336.0,5,1,154,,442540,0.584
unlab,2863,4176,2174,1857,120.0,6,1,122,,272611,0.584
unlab,3049,5648,2072,1884,204.0,6,1,140,,223883,0.584
unlab,3088,3280,2003,1801,216.0,6,2,129,,199510,0.584
unlab,3387,2064,1791,1659,330.0,6,1,156,,63448,0.584
unlab,3727,2768,2066,1745,138.0,7,1,128,,165416,0.584
unlab,3853,3984,1997,1862,204.0,7,1,154,,257905,0.584
unlab,4005,9936,1762,1630,258.0,7,1,168,,512145,0.584
unlab,4889,10832,1525,1921,354.0,8,2,151,,600524,0.584
unlab,5837,3920,1805,1902,258.0,10,1,174,,252286,0.584
unlab,6748,8912,1712,1726,258.0,12,1,150,,442496,0.584
unlab,8848,1360,2014,2494,18.0,60,1,116,,85702,0.584
unlab,8903,10320,1089,1021,228.0,64,1,125,,529334,0.584
unlab,8961,10320,2484,889,138.0,70,1,144,,550341,0.584
unlab,8968,1360,1830,2604,6.0,71,1,133,,80294,0.584
unlab,192,4304,2039,1870,180.0,2,1,127,,287749,0.576
unlab,242,8080,1898,1835,204.0,2,1,142,,395683,0.576
unlab,432,11088,1038,2138,30.0,3,1,134,,650347,0.576
unlab,612,4176,2084,1852,156.0,3,1,140,,271742,0.576
unlab,959,3408,2042,1931,0.0,4,1,134,,220959,0.576
unlab,1120,6544,2255,1974,90.0,4,1,132,,223883,0.576
unlab,1340,3664,2022,1889,198.0,4,1,130,,220584,0.576
unlab,1418,9424,1859,1701,222.0,4,1,130,,465348,0.576
unlab,1574,4048,2017,1986,306.0,4,1,168,,259101,0.576
unlab,1605,10960,1195,1972,312.0,4,1,160,,629691,0.576
unlab,2459,10832,1485,1891,306.0,5,1,185,,637968,0.576
unlab,2534,9360,1884,1830,336.0,5,2,171,,469820,0.576
unlab,2535,10448,1765,1708,336.0,5,1,159,,566761,0.576
unlab,2831,9872,1939,1642,102.0,6,1,145,,500909,0.576
unlab,3364,10832,1493,1900,318.0,6,2,219,,600524,0.576
unlab,3753,9424,1955,1720,144.0,7,1,146,,469958,0.576
unlab,4583,8400,1826,1705,198.0,8,1,166,,409097,0.576
unlab,5169,4688,2074,1780,174.0,9,1,126,,297535,0.576
unlab,5508,10384,1872,1756,54.0,10,1,156,,547286,0.576
unlab,7329,10448,1687,1651,282.0,14,1,190,,567197,0.576
unlab,8264,8848,1695,1412,210.0,23,1,149,,223883,0.576
unlab,8669,9424,1422,1875,282.0,42,1,149,,466206,0.576
unlab,8774,6736,1743,2340,312.0,53,1,124,,223883,0.576
unlab,8851,10768,2306,2452,42.0,60,1,217,,613751,0.576
unlab,8853,1360,2374,1022,132.0,60,1,158,,49843,0.576
wedge,2060,6384,2660,1806,108.0,67,,,1,223883,0.576
wedge,2699,8560,2260,1428,132.0,51,,,1,423147,0.576
unlab,4094,2704,1928,1855,300.0,7,1,114,,63448,0.573
unlab,256,9424,1897,1737,216.0,2,1,139,,371670,0.568
unlab,351,3984,2010,1983,330.0,2,1,136,,259078,0.568
unlab,531,1168,1998,1502,108.0,3,1,161,,67743,0.568
