instance_id,n_pts,n_k,kmin,kmax,gap,side_min
57187,131,4,40,46,3,3
57188,98,5,32,40,3,49
57190,3753,18,41,62,4,26
57557,184,4,29,37,4,13
57587,3004,28,35,67,4,308
57603,790,8,31,41,2,3
57626,74,5,26,35,5,18
57628,152,3,44,48,2,65
57642,49,2,33,36,2,10
57650,57,5,41,51,6,14
57653,673,10,53,73,8,17
57657,343,6,38,48,5,43
57724,563,7,68,82,5,13
57729,93,3,56,67,9,24
57733,256,7,51,60,3,117
57742,30,2,59,67,7,13
57745,635,12,59,79,5,89
57751,34,2,55,61,5,11
57759,67,2,56,64,7,9
57760,47,3,55,68,11,16
57960,121,2,51,56,4,15
57978,834,8,51,63,5,136
57981,277,3,58,63,3,37
57983,559,6,54,65,6,225
57991,108,3,55,61,4,49
57992,63,2,54,60,5,8
57999,119,4,64,69,2,30
58014,706,10,57,73,7,214
58021,1815,11,54,72,8,17
58029,25,2,61,65,3,7
58037,35,2,51,58,6,8
58046,316,7,55,65,4,102
58089,3010,28,41,74,5,66
58090,443,5,54,68,5,119
58097,265,7,49,62,5,86
58098,772,10,56,68,3,89
58189,495,9,54,68,6,19
58192,1212,17,47,67,4,37
58204,3201,26,39,68,4,97
58206,1020,11,56,70,2,161
58214,927,18,35,55,3,31
58215,243,6,54,74,6,109
58228,113,2,47,57,9,54
58231,449,12,49,71,4,44
58233,449,13,37,51,2,135
58234,997,13,48,62,2,76
58235,799,18,30,51,2,109
58238,415,8,54,67,5,138
58310,343,6,46,57,6,127
58315,209,2,54,58,3,6
58316,50,3,53,58,3,4
58383,128,5,56,64,2,6
58385,232,5,46,52,2,6
58931,190,4,45,50,2,69
58933,7922,41,29,73,4,123
58985,142,6,40,49,2,11
58988,43,4,42,48,3,7
58990,96,4,40,49,2,27
59001,224,6,44,54,5,59
59002,1355,14,36,51,2,128
59004,445,7,43,51,2,20
59010,317,10,45,57,3,83
59120,410,9,43,55,3,168
59159,869,15,55,73,4,186
59163,7241,26,47,79,5,65
59176,391,4,69,74,2,60
59185,105,2,59,62,2,10
59196,307,7,58,72,4,49
59216,294,3,62,66,2,65
59218,770,12,45,59,3,33
59219,254,9,42,52,2,31
59220,58,2,69,72,2,28
59225,141,6,65,73,3,14
59226,33,3,44,49,3,16
59232,172,4,70,75,2,69
59522,627,14,57,74,3,27
59523,578,12,53,66,2,8
59561,254,2,65,72,6,4
59564,188,5,63,79,12,51
59565,37,3,57,73,12,18
59570,1282,10,66,82,4,272
59574,83,3,70,79,7,19
59577,56,2,64,74,9,3
59590,675,11,59,78,5,323
59591,2340,20,50,72,2,55
59593,886,9,62,74,3,72
59594,196,7,56,80,16,50
59600,144,4,62,73,7,23
59601,127,4,56,68,9,51
59602,142,3,70,77,5,61
59604,254,6,63,82,14,113
59610,1817,14,54,71,2,20
59611,273,3,64,70,4,106
59615,248,6,63,78,8,49
59616,396,3,61,74,11,128
59624,338,7,60,74,8,91
59625,78,3,64,71,5,39
59626,141,4,69,79,7,7
59628,35,4,52,72,17,13
59631,1043,14,52,79,6,59
59632,104,3,68,78,8,51
59635,15,2,54,73,18,3
59636,2738,17,51,70,2,797
59638,4221,22,51,82,8,46
59639,19665,36,44,86,3,195
59644,210,7,63,74,5,101
59655,397,9,61,75,6,97
59659,1489,13,58,73,3,105
59664,53,2,71,79,7,17
59667,748,15,51,77,7,12
59671,112,3,56,68,10,34
59676,144,3,56,68,10,28
59678,227,5,55,68,9,81
59680,370,6,55,68,4,165
59681,184,11,52,80,9,39
59682,30,3,56,68,10,10
59683,397,14,51,68,2,74
59685,209,4,50,63,10,6
59687,326,11,55,77,4,10
59689,191,4,70,77,4,36
59690,68,3,62,82,13,29
59692,104,6,51,73,9,14
59694,153,4,53,65,9,22
59698,147,3,55,67,10,68
59699,11,2,69,75,5,3
59700,133,8,53,77,9,21
59701,89,3,52,63,9,41
59702,55,2,52,62,9,11
59703,305,9,56,79,15,21
59704,137,7,54,63,2,21
59708,216,7,55,73,8,4
59711,121,2,49,55,5,8
59716,177,7,48,57,2,49
59719,526,9,49,59,2,253
59737,2550,15,47,64,2,80
59738,297,5,52,63,7,125
59748,652,8,57,66,2,15
59774,313,8,54,64,3,42
59775,401,10,51,63,3,132
59783,196,7,54,62,2,21
59786,743,7,45,54,2,253
59798,527,9,59,71,2,132
59800,86,2,52,57,4,9
59804,255,7,50,59,2,86
59807,1236,10,56,69,3,413
59811,32,2,48,55,6,6
59822,207,3,42,46,2,89
59825,4697,10,36,49,4,60
59826,32,3,49,68,17,14
59827,1264,14,43,63,7,126
59828,157,4,49,57,5,57
59832,644,6,40,47,2,295
59835,95,3,43,47,2,47
59837,103,3,44,54,8,40
59843,108,3,47,56,7,22
59865,640,8,45,55,3,233
59878,127,3,51,55,2,56
59894,289,3,46,52,4,69
59904,134,3,54,58,2,31
59915,864,10,54,65,2,49
59920,6,2,44,47,2,3
59925,294,7,53,62,2,126
59926,286,6,58,68,3,71
59931,56,4,52,58,3,25
59935,61,3,53,60,5,29
59939,216,5,54,62,4,28
59941,1258,8,51,63,3,7
59943,509,4,52,61,4,92
59952,47606,32,21,54,2,23
59955,363,4,34,40,3,128
59966,98,2,45,50,4,32
59968,271,5,38,44,2,10
59972,62,2,35,43,7,30
59977,297,6,30,47,7,52
59978,1280,11,27,39,2,368
59979,362,11,24,41,7,47
59984,22,2,38,42,3,6
59988,61,6,34,47,3,5
59992,777,8,35,47,4,386
59995,236,5,37,47,6,42
59997,55,2,37,40,2,14
60001,56,3,35,40,3,3
60002,72,3,39,46,4,5
60005,105,3,44,54,8,27
60009,692,7,32,45,7,174
60013,103,4,44,57,8,7
60015,264,5,49,57,4,22
60018,169,3,45,56,7,78
60019,585,5,38,54,7,253
60020,1923,16,38,57,3,8
60021,622,11,38,52,2,125
60023,1845,15,56,80,5,633
60025,111,2,83,87,3,11
60034,151,4,55,60,2,11
60040,48,3,57,64,5,10
60042,74,4,55,62,4,32
60048,342,4,55,69,7,163
60052,33,3,58,65,5,4
60053,1870,13,62,80,5,727
60057,115,5,51,57,2,39
60063,81,2,53,56,2,3
60067,79,3,45,49,2,3
60075,111,2,55,63,7,9
60080,42,3,49,53,2,10
60081,305,7,59,75,5,20
60084,605,9,48,60,4,6
60086,82,2,71,75,3,20
60090,178,4,55,67,6,64
60093,75,4,55,69,7,3
60110,58,3,68,78,8,10
60116,202,7,49,60,5,95
60118,598,10,51,68,5,49
60121,134,3,59,67,6,13
60126,60,4,52,65,10,16
60132,123,4,48,54,3,52
60134,223,4,56,65,6,12
60143,77,3,49,57,6,12
60147,55,5,53,64,6,16
60151,48,3,49,59,8,24
60154,35,2,59,63,3,8
60177,228,5,58,68,2,91
60189,2635,12,63,80,6,776
60198,1574,7,69,82,7,113
60203,100,5,71,78,2,26
60209,92,4,49,60,8,29
60210,492,10,41,53,3,22
60222,57,2,67,71,3,23
60224,282,5,67,80,9,141
60231,213,5,49,61,6,93
60232,142,6,47,59,7,28
60233,132,5,66,79,9,63
60237,337,3,53,64,9,26
60244,382,7,69,79,4,144
60246,268,5,60,70,6,98
60252,96,4,69,81,9,45
60262,212,6,68,78,5,31
60273,197,4,53,64,8,3
60275,15,2,68,71,2,6
60279,77,4,70,82,8,29
60283,127,5,60,70,4,44
60291,206,8,65,77,5,101
60301,328,4,66,82,13,39
60305,74,4,50,67,9,11
60307,204,5,59,71,8,31
60311,2271,19,49,74,4,353
60315,387,7,60,68,2,182
60317,125,3,60,68,6,3
60319,391,8,63,73,2,163
60324,132,3,56,68,10,7
60325,97,5,60,72,6,15
60326,728,11,63,77,4,358
60334,55,2,52,59,6,4
60335,148,7,45,56,3,55
60339,326,6,50,66,8,35
60341,89,4,52,69,14,21
60345,2653,24,51,83,6,658
60346,48,2,52,68,15,19
60350,14,3,51,70,17,5
60352,91,4,72,79,4,6
60354,106,6,68,76,2,7
60357,39,3,64,79,13,16
60358,355,4,81,86,2,27
60360,83,7,52,65,6,26
60378,40,3,57,68,9,18
60383,269,5,68,80,8,112
60386,91,4,66,73,4,36
60392,70,7,61,76,8,11
60393,45,4,55,65,7,20
60399,229,4,71,82,7,96
60403,602,8,77,86,2,26
60409,382,7,68,77,2,53
60412,438,10,52,69,3,127
60416,467,6,64,71,2,24
60420,2707,19,59,84,6,37
60424,227,3,74,80,3,105
60429,140,6,72,84,6,17
60441,190,4,60,76,13,27
60446,71,3,55,64,7,3
60450,165,3,59,71,10,81
60451,92,4,59,71,5,3
60453,955,11,68,80,2,165
60454,96,2,59,68,8,19
60460,110,3,55,59,2,39
60463,31,2,65,70,4,8
60472,940,6,59,67,3,58
60474,168,2,81,85,3,13
60475,25,3,47,57,8,7
60484,24,2,64,69,4,12
60486,289,6,60,68,3,28
60493,1556,15,58,79,4,57
60496,2636,18,58,78,3,534
60503,30,2,52,56,3,4
60511,669,10,74,86,3,39
60519,31,2,65,70,4,13
60528,239,6,46,53,2,27
60550,264,5,60,71,6,41
60556,1909,13,67,82,3,242
60557,280,5,60,68,4,135
60558,686,8,58,68,3,61
60559,100,2,71,76,4,45
60565,3329,19,47,73,4,499
60566,76,5,58,74,8,5
60567,184,7,59,69,4,14
60569,117,4,60,65,2,15
60570,1091,14,64,80,2,64
60575,255,2,79,83,3,88
60584,362,12,56,71,4,65
60588,264,4,64,71,4,15
60593,273,6,78,86,2,10
60594,157,5,75,81,2,27
60595,93,6,55,63,2,22
60596,702,7,51,61,4,170
60601,724,10,42,59,8,75
60603,1262,17,58,86,6,7
60604,390,6,74,82,3,29
60606,79,4,55,70,12,36
60610,318,6,55,66,5,143
60616,714,9,73,84,3,26
60618,1863,10,62,75,4,133
60629,124,3,75,84,5,38
60631,147,3,52,60,6,3
60632,840,11,37,55,7,104
60635,152,4,63,73,7,64
60636,820,9,63,75,4,308
60637,226,3,57,61,2,48
60643,957,11,69,82,3,228
60652,123,3,60,71,9,31
60657,122,3,57,67,8,44
60661,52,5,53,60,3,15
60668,19,3,59,63,2,4
60674,112,6,61,69,3,48
60680,105,3,80,84,2,42
60685,38,3,60,66,4,18
60687,894,10,68,91,7,6
60689,71,4,59,68,6,22
60735,28,2,54,58,3,9
60770,288,5,62,73,7,65
60774,514,6,51,60,4,32
60779,74,3,53,62,7,27
60780,97,3,62,73,9,34
60790,251,3,54,58,2,23
60798,109,4,64,74,7,10
60811,868,10,46,59,2,13
60813,69,5,44,51,3,4
60830,48,3,52,59,5,9
60833,95,4,50,57,4,46
60839,37,4,59,66,4,15
60861,35,2,48,54,5,4
60863,170,4,58,66,5,20
60867,340,6,51,61,5,66
60879,83,2,54,57,2,28
60881,535,7,54,65,5,20
60891,34,3,49,55,4,3
60914,186,2,63,66,2,19
60919,37,4,44,49,2,4
60926,734,10,46,57,2,145
60928,186,5,60,72,5,37
60929,216,6,59,67,3,87
60942,64,4,51,63,9,3
60946,388,9,55,70,6,19
60956,62,2,53,58,4,11
60963,213,4,50,62,9,59
60967,916,7,61,72,4,37
60973,249,5,41,52,4,88
60991,241,5,54,62,4,27
61007,270,6,49,57,3,121
61019,182,7,61,74,6,17
61023,84,3,51,58,5,13
61025,212,3,50,56,4,42
61037,464,8,65,80,8,104
61069,54,4,62,67,2,11
61079,95,2,52,64,11,10
61084,30,2,52,58,5,13
61088,236,6,55,67,3,89
61089,48,3,60,66,4,21
61093,73,3,43,51,6,4
61105,66,5,45,55,6,32
61106,176,4,41,52,8,26
61134,203,3,54,68,12,16
61135,168,7,45,57,5,59
61137,116,2,52,60,7,56
61141,74,3,65,76,9,7
61147,108,3,51,63,10,3
61155,81,2,53,64,10,21
61156,691,8,50,61,4,332
61160,69,3,46,53,5,33
61168,144,4,60,69,6,17
61175,360,7,61,74,7,139
61178,378,9,54,65,2,93
61183,101,3,56,62,4,4
61187,526,7,52,64,6,78
61191,53,2,43,53,9,7
61199,80,3,53,67,12,15
61201,230,6,55,64,3,81
61223,27,3,49,60,9,13
61247,50,3,54,65,9,15
61248,54,4,61,72,7,3
61277,227,4,53,58,2,42
61285,50,2,40,51,10,7
61287,856,12,42,60,4,14
61303,40,2,63,69,5,7
61306,314,10,54,70,5,99
61315,89,3,56,61,3,29
61322,25,3,47,51,2,12
61324,47,2,45,48,2,15
61325,233,3,58,65,5,11
61337,57,2,61,65,3,5
61340,334,7,50,58,2,10
61350,176,4,48,53,2,8
61355,96,3,58,66,6,5
61362,408,7,48,65,5,13
61371,550,11,40,53,2,153
61372,921,10,62,77,6,290
61381,54,3,67,74,5,10
61385,28,4,50,55,2,10
61402,179,7,49,64,5,44
61419,440,5,51,59,4,60
61428,33,3,67,74,5,14
61431,10,3,54,59,3,5
61437,344,5,64,71,3,9
61438,299,6,53,66,8,17
61445,107,3,67,78,9,15
61466,197,7,60,76,10,88
61467,108,6,69,79,5,4
61471,311,9,56,69,5,72
61476,36,3,45,55,8,15
61491,81,4,68,73,2,15
61494,202,5,59,74,11,53
61497,253,8,57,72,6,116
61520,30,3,55,63,6,8
61531,91,3,59,74,13,9
61540,212,5,45,56,5,92
61549,112,6,64,76,5,37
61558,31,3,48,56,6,9
61563,104,7,66,78,5,45
61592,135,9,60,78,4,20
61607,80,6,67,78,6,21
61621,16,2,60,65,4,7
61640,80,4,68,78,7,16
61641,20,3,51,61,8,10
61657,235,6,67,77,5,22
61662,158,6,57,67,4,76
61666,176,5,61,69,4,31
61676,95,4,65,74,4,18
61678,86,2,59,65,5,19
61681,49,3,53,65,10,7
61694,36,3,55,63,6,6
61702,116,3,54,63,7,53
61708,128,4,63,70,4,59
61736,38,5,52,65,9,15
61743,547,9,61,72,3,41
61752,944,8,60,70,3,131
61759,381,6,55,63,3,16
61782,947,7,54,63,3,85
61799,73,3,70,76,4,36
61805,113,5,70,78,4,6
61818,107,3,70,79,7,42
61823,34,3,60,66,4,11
61829,34,2,67,74,6,7
61833,726,8,64,73,2,118
61838,241,5,51,58,3,25
61851,432,3,50,72,20,34
61852,432,6,49,69,10,30
61853,107,4,60,67,4,42
61854,124,4,53,58,2,8
61862,123,5,62,69,3,12
61870,96,4,64,72,5,30
61887,54,4,53,59,3,9
61915,48,3,51,62,9,7
61926,310,6,58,70,5,34
61936,126,5,58,66,4,3
61955,163,7,54,63,3,56
61957,88,2,57,60,2,33
61962,939,11,29,41,2,372
61967,382,6,31,49,13,16
61972,75,6,23,34,6,29
61974,88,5,39,51,8,18
61976,172,6,25,36,6,54
61977,199,3,28,34,4,4
61983,651,9,42,53,2,141
61984,387,10,17,29,2,56
61991,373,5,31,48,13,59
61995,560,9,32,44,3,75
61999,167,7,41,52,4,5
62001,95,5,16,24,4,15
62004,302,6,38,47,4,16
62005,644,12,29,43,3,22
62006,127,4,25,30,2,44
62007,60,3,28,39,9,14
62015,189,6,33,45,7,82
62019,395,9,23,34,2,162
62034,370,7,19,27,2,102
62041,86,4,42,48,3,3
62046,400,7,26,40,7,6
62047,92,3,12,19,5,27
62049,95,4,27,32,2,5
62052,123,3,33,42,7,15
62060,602,7,33,43,4,280
62067,119,3,40,48,6,36
62068,104,7,39,48,3,42
62076,339,10,29,40,2,157
62077,599,7,28,40,2,13
62086,120,6,18,31,5,53
62097,693,9,22,33,3,16
62098,394,6,32,43,6,151
62100,135,6,30,40,5,36
62101,121,5,30,37,3,39
62108,109,5,21,28,3,44
62109,157,6,28,35,2,4
62111,322,8,36,48,5,145
62113,104,2,24,28,3,36
62115,19,3,30,36,3,4
62116,18,2,50,54,3,4
62118,646,8,40,51,3,123
62129,195,3,41,45,2,14
62131,312,7,33,43,4,81
62132,859,11,24,38,3,74
62137,199,4,24,29,2,14
62139,112,5,45,52,3,25
62141,328,6,24,32,3,128
62144,137,3,34,39,3,13
62145,282,7,16,26,2,116
62149,164,3,20,24,2,55
62150,488,8,41,52,4,44
62151,130,3,37,44,5,6
62158,232,4,30,37,4,14
62162,234,7,31,39,2,102
62163,170,4,30,35,2,65
62166,225,10,18,30,2,70
62170,290,5,24,31,3,28
62171,177,4,23,30,4,24
62176,127,3,36,43,5,7
62180,114,4,31,36,2,55
62192,70,2,13,17,3,19
62194,74,4,36,45,3,12
62195,147,5,37,48,6,31
62196,990,16,35,55,3,27
62197,219,9,22,37,3,40
62203,153,2,25,29,3,72
62207,308,8,41,52,3,40
62217,139,4,34,42,4,49
62222,176,6,46,60,8,5
62231,641,8,19,30,2,99
62234,215,4,22,27,2,66
62238,766,11,36,51,4,99
62243,57,3,25,37,10,24
62246,963,12,35,53,4,36
62247,1036,13,33,48,2,129
62248,321,8,33,48,8,86
62255,103,5,31,41,6,8
62258,147,3,27,37,8,26
62260,326,6,27,41,9,150
62261,138,3,26,32,4,25
62262,464,8,44,57,6,163
62263,345,6,35,45,5,127
62272,197,4,25,31,3,38
62273,503,6,28,35,2,218
62274,116,4,9,15,3,5
62278,206,3,13,17,2,48
62281,985,11,28,40,2,7
62286,390,8,26,36,3,15
62290,109,6,34,49,9,11
62291,203,4,16,21,2,63
62292,96,4,27,37,6,29
62293,111,3,24,32,6,25
62295,170,8,26,37,3,6
62300,214,4,36,41,2,61
62311,23,2,27,36,8,11
62313,182,6,39,54,8,60
62316,623,8,31,41,3,149
62317,87,2,30,33,2,4
62320,158,6,30,40,3,61
62322,54,3,20,26,4,3
62323,113,5,34,44,5,19
62324,259,7,30,39,3,90
62331,292,5,18,24,2,62
62332,16,2,40,44,3,5
62334,39,2,34,42,7,6
62336,225,9,29,41,4,46
62338,320,11,13,25,2,129
62341,48,2,54,58,3,6
62343,164,8,34,47,5,46
62350,712,11,39,53,4,21
62353,357,9,17,27,2,65
62354,298,7,21,30,2,57
62357,517,11,34,52,5,169
62359,90,5,32,38,2,26
62365,167,7,36,46,2,11
62366,186,4,27,37,5,90
62368,152,5,20,32,6,73
62370,136,3,53,57,2,21
62373,311,11,24,37,2,49
62381,30,2,32,44,11,7
62384,14193,29,19,50,2,106
62386,162,4,23,28,2,59
62388,105,5,22,32,6,50
62398,183,3,33,38,3,9
62399,1092,14,21,36,2,257
62406,32,2,32,36,3,3
62414,291,6,52,61,4,4
62416,245,6,46,59,5,12
62419,200,4,30,43,7,58
62420,414,11,34,47,3,52
62425,177,7,24,35,3,18
62426,97,2,18,25,6,3
62430,469,11,26,38,2,31
62435,85,4,15,29,9,25
62437,206,5,40,47,3,29
62439,108,4,55,64,5,40
62440,270,7,47,58,3,50
62441,338,7,28,36,2,46
62443,81,3,31,36,3,14
62446,55,4,47,59,9,10
62447,276,8,38,47,2,11
62448,272,10,33,47,3,40
62449,526,7,32,42,4,76
62450,82,3,40,47,5,4
62461,121,5,34,42,3,10
62466,91,6,49,61,6,3
62470,380,9,40,52,4,8
62471,9,2,64,69,4,3
62472,2065,16,19,38,4,41
62475,816,7,43,55,6,12
62478,252,9,23,34,3,73
62479,42,2,29,33,3,16
62481,177,5,30,39,5,31
62483,504,10,21,32,2,88
62485,31,2,39,45,5,8
62502,99,5,29,38,3,3
62507,234,5,47,53,2,62
62509,175,6,29,37,3,64
62514,118,3,35,39,2,59
62528,171,6,45,53,3,59
62529,111,4,18,25,4,9
62534,325,5,48,62,10,127
62539,291,8,35,52,6,45
62543,925,14,33,53,4,24
62544,254,5,17,24,3,9
62549,53,3,27,34,5,3
62552,79,2,28,35,6,28
62553,106,5,43,50,3,11
62557,440,12,45,58,2,160
62576,19,2,46,50,3,4
62580,21,4,32,42,7,8
62583,57,2,31,34,2,5
62587,118,5,35,45,6,14
62588,46,3,34,43,7,7
62593,139,4,42,48,3,41
62607,121,3,29,38,7,14
62610,98,4,35,47,7,39
62617,59,3,34,40,4,8
62627,72,3,37,47,8,29
62628,170,5,35,45,6,58
62637,137,5,32,39,3,27
62641,105,5,35,47,7,47
62644,1078,13,29,44,3,497
62648,55,3,28,37,7,5
62650,78,4,43,49,3,16
62654,94,2,33,39,5,34
62655,49,2,30,35,4,19
62662,27,3,28,33,3,12
62665,291,7,40,49,3,87
62666,214,5,30,44,5,62
62681,155,5,36,46,6,59
62687,20,2,40,44,3,3
62709,225,6,31,39,3,93
62721,744,8,27,36,2,9
62741,30,2,30,34,3,9
62743,52,2,44,48,3,4
62745,81,3,38,43,3,29
62754,63,4,40,46,3,14
62758,1226,12,35,48,2,120
62768,38,2,50,54,3,8
62769,92,4,41,49,3,4
62771,64,2,30,35,4,6
62782,48,4,20,25,2,22
62801,127,2,22,29,6,36
62810,94,3,18,23,3,6
62811,50,3,39,44,3,19
62820,25,3,49,53,2,4
62824,65,3,40,47,5,31
62845,164,3,43,47,2,8
62855,57,4,20,30,4,11
62859,186,12,22,36,3,67
62863,93,3,26,32,4,20
62864,918,10,50,61,2,102
62872,74,2,28,33,4,31
62873,122,4,25,30,2,28
62874,82,4,20,25,2,17
62876,96,7,25,37,4,22
62878,112,6,28,41,5,53
62881,23,3,33,39,4,4
62893,84,4,32,41,6,39
62898,32,2,45,58,12,13
62901,34,4,41,53,9,9
62909,31,2,51,57,5,5
62918,111,4,21,30,3,25
62920,25,2,41,47,5,7
62962,125,4,36,46,6,30
62964,82,3,39,45,4,16
62969,40,3,18,23,3,11
62970,312,3,39,45,4,4
62975,27,3,43,60,15,10
62979,45,3,36,42,4,14
62985,123,4,28,42,11,3
62995,1661,8,40,55,7,48
63005,86,4,41,56,12,42
63013,30,3,38,45,4,13
63025,1000,10,33,49,4,27
63036,31,2,32,43,10,6
63037,242,10,21,33,2,103
63048,98,3,34,38,2,21
63056,48,4,60,67,4,19
63085,299,8,19,34,5,47
