z,cy,cx
4240,2068.473,1914.977
4272,2053.492,1912.842
5392,2096.309,1976.825
5424,2104.198,1973.807
5456,2103.781,1979.115
5488,2107.396,1976.644
5520,2111.97,1969.179
5552,2111.684,1978.884
5584,2110.385,1981.605
5616,2115.322,1985.13
6736,2175.422,1955.775
6768,2175.57,1964.615
6800,2170.162,1939.019
6832,2171.576,1952.846
6864,2173.954,1961.554
6896,2162.441,1953.859
6928,2148.435,1934.689
6960,2155.841,1939.849
8080,1918.074,1882.259
8112,1915.586,1864.849
8144,1907.34,1893.952
8176,1905.73,1885.959
8208,1899.437,1873.492
8240,1888.584,1894.054
8272,1883.658,1895.523
8304,1873.695,1884.907
9424,1920.708,1770.899
9456,1899.962,1790.506
9488,1901.455,1761.908
9520,1910.466,1733.283
9552,1903.378,1720.86
9584,1891.029,1738.398
9616,1890.45,1735.415
9648,1890.95,1726.758
10768,1651.616,1727.202
10800,1600.498,1737.0
10832,1533.081,1859.47
10864,1451.703,1878.37
10896,1433.8,1889.66
10928,1317.151,1892.172
10960,1250.519,1926.43
10992,1199.23,1976.227
1584,1719.287,1589.322
1616,1697.437,1594.441
1648,1673.48,1580.471
1680,1697.494,1585.347
1712,1681.407,1574.349
1744,1704.418,1553.721
1776,1716.804,1575.859
1808,1722.587,1594.47
2928,1992.733,1859.374
2960,2002.785,1861.834
2992,2031.813,1868.123
3024,2020.156,1868.962
3056,2020.451,1869.816
3088,2043.707,1845.568
3120,2029.836,1839.458
3152,2020.023,1848.5
4272,2052.125,1911.807
4304,2040.329,1922.863
4336,2026.122,1920.581
4368,2027.039,1936.474
4400,2034.955,1934.544
4432,2045.0,1918.629
4464,2030.608,1934.366
4496,2033.342,1915.294
5616,2115.78,1984.123
5648,2117.073,1986.41
5680,2124.325,1963.23
5712,2120.04,1966.607
5744,2119.495,1949.512
5776,2123.337,1969.041
5808,2124.587,1970.787
5840,2123.914,1984.082
6960,2155.728,1939.612
6992,2163.465,2006.49
7024,2164.127,2001.159
7056,2149.628,1948.418
7088,2130.492,1951.162
7120,2134.206,1941.907
7152,2136.876,1971.098
7184,2135.972,1938.945
8304,1874.527,1885.635
8336,1864.837,1864.752
8368,1843.495,1872.755
8400,1872.379,1847.06
8432,1868.213,1844.073
8464,1868.754,1832.661
8496,1862.229,1807.222
8528,1846.669,1807.553
9648,1890.839,1726.915
9680,1894.668,1694.794
9712,1891.922,1675.775
9744,1891.505,1659.937
9776,1857.885,1702.09
9808,1857.198,1677.163
9840,1868.397,1666.675
9872,1879.935,1657.954
10992,1199.227,1976.268
11024,1126.343,2007.832
11056,1026.312,2026.955
11088,1016.171,2101.321
11120,940.834,2225.955
11152,940.95,2382.782
11184,1695.835,761.792
11216,1732.629,768.388
1808,1722.806,1594.211
1840,1741.694,1582.011
1872,1732.261,1604.097
1904,1728.399,1597.049
1936,1733.434,1604.313
1968,1726.958,1609.778
2000,1728.123,1607.665
2032,1753.282,1607.372
3152,2020.251,1849.289
3184,2032.616,1836.3
3216,2026.766,1834.505
3248,2028.177,1848.067
3280,2036.309,1848.691
3312,2027.014,1853.01
3344,2036.364,1862.207
3376,2051.147,1865.971
4496,2033.313,1916.891
4528,2025.413,1917.928
4560,2056.31,1879.969
4592,2062.056,1882.084
4624,2055.966,1894.902
4656,2064.627,1886.026
4688,2062.309,1899.656
4720,2051.041,1915.404
5840,2123.064,1985.348
5872,2122.185,1975.021
5904,2131.325,1946.681
5936,2133.267,2007.116
5968,2134.165,1947.971
6000,2140.003,1951.158
6032,2131.492,1974.334
6064,2133.229,1974.614
7184,2137.048,1937.234
7216,2135.766,1949.467
7248,2129.785,1968.845
7280,2119.291,1964.424
7312,2110.107,1970.185
7344,2105.083,1984.542
7376,2090.695,1973.206
7408,2079.175,1977.822
8528,1846.381,1806.483
8560,1874.553,1774.956
8592,1850.548,1794.011
8624,1858.787,1815.563
8656,1862.935,1785.82
8688,1885.624,1777.234
8720,1880.341,1751.235
8752,1868.855,1720.863
9872,1880.736,1656.67
9904,1883.147,1656.885
9936,1871.178,1656.441
9968,1870.299,1639.62
10000,1851.434,1611.515
10032,1851.579,1585.802
10064,1843.062,1608.742
10096,1835.151,1646.176
2032,1753.503,1607.879
2064,1833.939,1589.372
2096,1842.213,1600.097
2128,1857.675,1592.303
2160,1869.88,1588.199
2192,1877.119,1584.564
2224,1870.856,1596.823
2256,1881.978,1609.983
3376,2051.433,1865.854
3408,2043.347,1868.418
3440,2026.567,1871.806
3472,2062.937,1889.258
3504,2019.083,1916.936
3536,2019.92,1931.853
3568,2029.962,1932.845
3600,2028.714,1935.142
4720,2052.34,1916.263
4752,2043.954,1921.582
4784,2044.701,1917.866
4816,2040.366,1930.19
4848,2044.85,1935.773
4880,2043.461,1951.821
4912,2040.521,1949.796
4944,2045.603,1958.394
6064,2132.672,1973.426
6096,2137.809,1992.102
6128,2131.776,1988.65
6160,2123.605,1996.369
6192,2138.988,1996.795
6224,2136.153,1982.256
6256,2134.957,1966.972
6288,2140.322,1954.463
7408,2079.491,1979.514
7440,2069.929,1980.805
7472,2061.145,1985.749
7504,2059.729,1973.855
7536,2053.506,1975.805
7568,2047.659,1983.988
7600,2043.663,1985.818
7632,2032.209,1971.588
8752,1868.268,1722.134
8784,1865.445,1734.584
8816,1884.956,1722.656
8848,1882.202,1737.057
8880,1870.525,1728.149
8912,1838.259,1755.909
8944,1822.792,1715.669
8976,1838.777,1750.806
10096,1835.43,1647.136
10128,1831.645,1626.95
10160,1834.859,1668.105
10192,1830.817,1680.044
10224,1824.265,1691.881
10256,1828.661,1695.895
10288,1806.056,1689.617
10320,1794.835,1658.108
